btr_pwr,btr_life,mhz,cores,frontcam,backcam,px_h,px_w,cm_h,cm_w,rom,ram,thick,weight,dual_sim,bt,touch,wifi,4g,3g,class
1172,6,1.9,1,0,3,607,1092,12,0,27,1477,0.7,164,0,0,0,0,1,1,1
612,3,1.9,7,6,7,1360,1891,8,4,16,3161,0.3,102,1,1,0,0,0,0,3
1563,5,2.4,8,0,0,142,1699,7,5,24,3660,0.2,170,0,0,1,0,1,1,3
1191,9,1.3,1,16,20,681,683,14,3,26,1604,0.8,84,1,0,0,1,1,1,1
615,18,0.5,6,0,4,104,1664,7,4,42,2211,0.6,163,1,1,0,1,0,0,1
1893,18,2.1,2,8,11,637,763,14,3,63,3822,0.2,134,1,1,1,1,0,0,3
1563,8,1.7,7,10,13,410,572,11,1,16,3922,0.1,151,1,0,0,1,0,0,3
1995,18,1.9,6,6,18,1830,1963,14,12,9,1203,0.8,139,0,1,1,1,0,1,2
1517,11,0.5,5,6,14,802,1489,15,5,48,2822,0.6,143,0,0,1,1,1,1,3
832,12,1.6,5,1,5,311,1294,15,13,34,447,0.3,108,1,0,1,0,1,1,0
1162,20,2.0,7,0,1,56,997,5,0,56,1652,0.7,114,0,0,0,0,1,1,1
1595,16,2.6,8,7,19,344,655,15,1,12,3608,0.3,121,0,1,1,0,0,0,3
1329,6,1.0,6,1,2,1053,1458,8,6,52,1228,0.9,181,0,1,0,1,0,1,1
928,5,0.5,8,11,13,221,1243,19,10,56,666,0.7,80,1,1,1,0,0,0,0
1656,19,0.5,7,8,17,506,519,12,8,38,1499,0.1,105,1,1,0,1,1,1,1
1937,14,1.7,1,17,19,1728,1767,5,4,58,3321,0.6,189,0,1,1,0,0,1,3
977,8,1.1,6,2,7,63,566,7,1,57,1206,0.6,181,1,1,1,1,0,0,0
768,16,0.9,1,16,20,418,515,19,3,56,952,0.1,113,0,1,0,1,1,1,0
1464,15,0.5,2,11,14,854,1168,5,3,12,3927,0.9,117,1,1,1,1,0,0,3
1177,19,0.9,2,1,8,178,882,18,5,29,311,0.4,191,0,0,0,0,1,1,0
1348,7,2.0,3,18,20,1869,1942,18,11,52,955,0.3,98,0,0,1,1,0,1,1
1956,19,2.2,3,0,2,185,776,13,1,37,1109,0.5,87,0,0,1,0,1,1,1
1751,17,0.5,6,6,20,170,564,8,6,8,2969,0.6,178,1,0,0,1,0,0,2
1530,19,2.0,6,11,13,454,1975,11,10,42,725,0.8,177,0,0,0,1,0,0,0
1997,15,1.8,4,1,8,866,1212,7,6,40,1655,0.5,185,1,1,0,0,0,1,2
1414,13,1.5,2,5,6,44,1118,16,12,44,3490,0.5,180,1,1,1,0,0,0,3
1707,10,1.4,7,0,2,1331,1388,12,0,41,1774,0.8,80,0,0,0,0,0,0,2
894,6,0.5,3,1,14,1285,1462,13,0,50,3615,0.5,199,1,0,0,1,1,1,3
645,13,1.2,8,6,17,741,1130,18,2,41,714,0.7,184,0,0,1,0,1,1,0
1163,12,2.8,2,0,0,520,754,19,2,49,2768,0.6,155,1,0,0,1,0,0,2
1126,13,0.7,8,3,17,114,1726,14,1,49,3739,0.9,165,0,0,0,0,0,1,3
1648,6,0.7,4,6,9,1153,1876,8,1,64,610,0.8,170,0,0,1,0,1,1,1
1170,20,0.9,2,6,13,474,709,18,5,14,715,0.4,199,0,1,0,1,1,1,0
508,7,0.8,1,7,8,39,557,13,12,42,663,0.3,94,0,0,0,0,1,1,0
1097,9,2.1,3,6,8,419,1914,14,5,64,1725,0.2,161,1,0,0,1,0,1,1
728,5,1.7,2,0,20,584,775,16,0,5,834,0.6,101,1,0,1,0,1,1,0
1980,18,0.5,1,2,13,312,1910,12,10,29,3865,0.8,177,1,0,0,0,1,1,3
1504,10,2.3,1,1,2,19,1923,6,5,64,3059,0.9,182,1,0,1,0,0,0,3
1379,7,2.1,1,14,17,207,1370,9,6,63,651,1.0,83,1,1,1,0,1,1,0
1698,14,2.1,6,5,20,363,994,13,3,18,796,0.9,160,0,0,0,1,1,1,0
920,5,2.1,7,5,14,209,1078,10,7,25,785,0.4,115,1,0,1,1,0,0,0
1144,8,1.5,1,0,11,159,724,16,0,21,3252,0.4,189,1,1,0,0,0,0,2
1995,7,0.5,1,6,15,649,1104,15,11,26,1322,0.2,129,0,1,1,1,0,0,1
1430,15,0.5,1,1,16,1132,1182,7,1,27,2832,0.5,183,1,0,1,1,0,0,2
972,13,0.5,5,5,8,1392,1795,11,6,13,1615,0.4,193,1,1,1,0,0,0,1
662,15,0.5,1,5,10,1001,1224,17,15,20,2125,0.8,138,0,0,1,1,0,0,1
1867,2,2.3,6,0,3,712,1442,6,1,9,990,0.1,191,0,0,0,1,1,1,1
1730,12,2.0,4,0,10,418,1023,14,0,20,1595,0.1,143,1,0,1,0,1,1,1
1723,16,1.0,3,1,17,384,1361,5,0,7,1213,0.6,126,0,1,1,1,1,1,1
1882,11,1.3,2,8,13,119,652,17,1,47,2500,0.2,140,1,1,0,1,0,0,2
803,12,0.8,4,0,1,627,935,18,15,18,2801,0.3,106,1,0,1,0,0,0,2
580,11,1.2,3,0,1,1086,1345,15,1,47,3451,0.9,91,1,1,1,0,0,1,3
668,4,2.3,1,2,19,195,1292,14,12,48,1201,0.3,114,0,0,1,0,1,1,0
1391,14,1.4,1,2,6,14,1256,14,7,36,3139,0.8,182,0,0,1,0,1,1,2
1560,16,2.3,7,0,1,745,1364,15,11,22,1938,0.8,169,0,0,1,1,1,1,2
821,15,1.8,3,5,9,253,1786,8,4,54,3185,0.1,109,1,0,0,0,0,1,2
811,2,2.4,6,5,13,333,1429,18,7,2,2111,0.3,106,1,1,0,1,1,1,1
1989,18,2.9,8,8,15,629,682,7,0,17,2369,0.1,193,1,1,1,0,0,1,2
1034,12,2.7,7,6,20,707,1199,17,1,37,3625,0.7,120,1,1,1,1,0,0,3
618,15,2.1,1,2,4,1314,1688,13,10,6,1051,0.3,86,0,0,0,1,0,0,0
654,13,1.3,4,0,4,1715,1898,17,4,52,1036,0.7,196,0,1,0,0,1,1,1
576,5,2.8,5,2,7,513,1438,6,0,10,2938,0.2,184,0,1,1,1,1,1,2
667,19,0.6,6,6,13,13,1463,5,0,3,2855,0.7,185,0,1,0,1,1,1,2
869,8,1.0,1,7,15,1243,1584,13,3,57,2727,0.6,118,0,1,0,0,1,1,2
635,18,0.5,3,2,4,300,1059,12,5,42,2973,0.4,149,1,1,0,1,0,0,2
609,15,3.0,1,15,16,58,1253,15,11,44,2581,0.3,117,0,1,0,1,1,1,1
1557,9,2.8,5,16,20,1107,1442,18,16,2,2690,0.1,123,1,0,0,1,0,0,3
1604,12,1.7,8,2,5,134,939,13,10,33,916,1.0,191,0,1,1,1,0,0,0
1182,19,0.5,8,7,16,275,986,19,17,8,2563,0.5,138,0,0,0,0,1,1,2
848,14,2.1,7,10,18,176,1029,10,0,19,3359,0.8,148,1,1,0,0,1,1,2
1610,9,2.9,4,7,12,1236,1280,8,4,64,941,0.9,181,0,1,1,0,1,1,1
1828,4,2.1,1,0,1,336,898,17,14,17,2280,0.9,199,1,1,0,0,0,0,2
880,6,2.0,7,1,3,1116,1381,15,9,50,827,0.5,194,1,0,0,1,1,1,0
1394,20,0.9,5,10,13,1010,1565,11,1,62,473,0.3,175,1,1,1,0,1,1,0
1960,11,2.3,7,1,3,205,1299,10,7,61,3865,0.3,86,1,1,0,0,1,1,3
809,3,0.8,7,10,19,1453,1726,18,7,21,1274,0.9,91,0,0,0,0,0,0,1
899,7,0.5,2,13,18,788,1331,11,1,57,364,0.9,172,1,0,1,0,1,1,0
1976,13,0.7,2,4,7,1301,1922,17,11,32,3699,0.8,171,1,1,1,1,0,0,3
879,11,1.5,4,0,2,463,1038,14,13,21,2927,0.8,187,1,0,0,1,1,1,2
916,14,2.6,4,0,12,188,992,13,0,36,1470,0.3,195,0,1,1,0,0,0,0
763,8,1.7,8,8,14,1028,1186,6,4,2,1050,0.5,92,1,0,1,0,1,1,0
508,10,1.6,6,0,2,1419,1920,18,8,9,2616,0.4,162,1,0,1,1,0,1,2
825,10,2.9,8,0,17,1471,1866,8,2,34,2915,0.8,99,1,0,1,0,0,1,3
1864,18,1.4,1,8,12,168,981,11,7,46,2686,0.7,178,0,0,1,1,1,1,2
1725,5,0.5,6,8,12,1125,1195,19,18,52,1243,1.0,185,1,0,1,1,1,1,1
1108,13,2.9,2,10,12,130,1706,16,1,52,3264,0.1,183,0,1,1,1,0,0,3
1011,16,1.1,7,4,18,481,749,7,6,36,2261,0.2,131,0,0,1,1,1,1,1
1703,20,1.5,5,17,19,1411,1711,5,1,55,2993,0.7,138,1,1,1,1,1,1,3
1067,16,1.7,7,0,0,79,681,12,9,58,706,0.5,135,1,1,1,0,0,0,0
1334,8,2.4,5,5,14,1187,1974,10,1,42,2542,0.6,115,0,1,0,0,1,1,3
775,9,2.6,7,0,10,561,1510,17,16,30,2523,0.4,189,0,1,0,1,0,1,2
1899,4,0.6,2,0,0,96,814,13,11,26,336,0.1,151,0,1,0,1,0,1,0
930,17,1.3,6,1,10,77,1025,11,7,14,2457,0.4,97,1,1,1,0,1,1,1
1058,16,1.5,4,2,14,493,1247,9,7,19,418,0.4,166,0,0,0,1,0,0,0
1187,8,2.2,2,0,9,1173,1814,13,11,46,3917,0.4,145,0,1,0,1,1,1,3
1874,2,2.7,7,10,13,964,1233,8,1,8,1246,0.9,166,1,1,0,1,0,0,1
1482,12,0.5,7,2,10,634,642,12,8,48,2971,0.2,142,0,0,1,1,0,1,2
1809,16,1.7,3,3,4,639,721,10,6,59,2324,0.1,174,0,1,0,1,1,1,2
864,16,3.0,2,0,1,127,1670,18,2,54,3121,0.7,187,1,1,1,1,1,1,2
625,2,1.9,1,12,20,431,550,10,6,33,3801,0.2,191,0,1,0,0,1,1,2
1880,7,1.8,3,4,5,71,699,17,15,18,3333,0.7,138,0,1,0,0,1,1,3
1138,3,1.4,8,12,17,111,1138,19,3,44,3475,0.2,187,0,0,0,0,1,1,3
560,18,0.5,8,14,15,356,1903,17,16,23,2360,1.0,146,0,0,1,1,0,0,1
1117,16,0.5,7,1,8,798,817,7,6,12,2895,0.6,144,0,0,1,0,0,1,2
1712,19,1.4,7,1,12,747,1126,16,1,63,3652,0.5,137,0,0,0,0,0,1,3
1836,18,1.7,6,3,16,408,1139,5,0,26,3097,0.1,134,1,1,1,0,0,0,3
1036,2,2.4,7,0,3,373,926,10,7,39,2101,0.2,119,0,1,1,0,0,0,1
1860,8,2.3,4,15,16,1362,1506,9,2,23,3918,0.6,162,0,1,1,0,0,0,3
1375,10,1.1,7,3,19,475,726,19,18,9,3869,0.9,145,0,1,1,1,1,1,3
1945,14,1.6,4,0,1,743,1753,14,1,57,732,0.3,195,1,0,1,0,1,1,1
1896,18,0.5,2,8,13,447,794,9,7,7,3684,0.4,141,1,0,0,0,1,1,3
788,6,2.5,8,4,12,42,1161,12,8,57,3969,0.9,91,1,0,1,1,1,1,3
880,7,1.7,2,0,2,30,1350,12,1,33,1414,0.7,173,1,1,1,0,0,1,0
1323,15,2.5,4,10,12,162,619,10,0,28,1892,0.2,131,1,1,1,1,1,1,1
1868,7,2.0,1,0,4,347,660,8,3,42,3131,0.2,169,1,0,1,1,1,1,3
1266,4,1.9,3,0,12,346,1468,10,5,7,2532,0.2,184,1,0,1,1,1,1,2
1042,20,2.7,7,16,18,727,1705,18,0,50,3215,0.8,93,1,0,1,1,1,1,3
1479,6,0.5,3,8,10,180,1476,13,12,19,3323,0.6,156,0,0,0,1,0,1,3
1476,3,1.2,4,0,5,1641,1666,13,8,55,1529,0.1,171,1,1,0,1,1,1,2
1552,9,2.2,6,6,9,269,1026,9,2,13,2403,0.2,123,0,1,1,1,1,1,2
1454,5,0.5,4,1,3,250,1033,7,5,34,3419,0.7,83,1,1,1,0,0,1,3
1007,16,2.0,5,0,2,1186,1529,9,0,45,3648,0.1,95,0,0,0,0,0,0,3
652,12,2.4,5,9,11,77,559,12,10,17,1974,0.7,173,1,1,0,0,1,1,0
1504,7,1.5,8,12,15,507,973,7,2,34,2806,0.7,142,0,0,0,1,1,1,2
1726,13,0.9,4,2,3,379,1223,13,9,51,2239,0.6,193,1,1,0,1,0,1,2
1029,4,1.9,5,5,8,264,956,15,7,5,582,0.2,171,1,1,1,1,1,1,0
1582,10,2.8,6,2,13,1486,1797,17,10,44,3890,0.5,112,0,0,1,1,1,1,3
1478,6,0.8,5,12,17,694,882,5,2,48,1141,0.7,99,1,1,0,1,0,0,1
1178,17,1.3,5,0,0,579,596,6,3,49,2511,0.6,101,0,1,0,0,0,0,2
707,7,2.1,3,2,17,495,574,9,2,25,3838,0.8,131,1,0,0,1,0,1,3
755,16,2.8,4,5,12,315,990,10,1,51,2734,0.3,186,0,1,0,1,1,1,2
912,20,2.0,8,1,5,329,1053,19,5,54,2330,0.3,161,0,1,1,0,0,0,1
651,19,0.8,5,2,4,548,858,14,9,63,2244,0.2,176,1,1,1,0,1,1,1
1483,2,2.1,7,1,2,531,758,15,13,54,1851,0.2,176,0,0,1,0,1,1,1
914,5,0.9,2,2,12,191,1495,11,7,4,808,0.8,100,0,1,1,0,0,1,0
1456,20,0.5,5,7,12,823,1104,6,5,7,1587,0.4,105,1,1,0,1,0,1,1
1178,10,2.2,3,6,17,96,1352,16,14,57,2492,0.3,84,1,0,1,0,0,1,2
1503,2,0.7,4,10,14,841,1304,15,1,43,2122,0.2,166,0,1,0,0,1,1,2
1681,16,2.5,2,2,13,195,1205,12,6,11,1122,0.4,158,0,1,1,1,0,0,0
715,10,2.3,4,4,6,21,562,14,2,48,3709,0.1,160,1,0,0,0,0,0,2
1876,18,2.8,3,3,4,235,585,12,2,56,3021,0.4,182,1,0,0,0,1,1,2
1190,19,2.2,6,9,10,1417,1441,9,3,47,624,0.3,186,1,1,1,1,0,1,0
1755,7,1.3,7,0,2,286,1075,8,1,24,3937,0.1,134,0,1,0,1,1,1,3
1197,4,1.3,6,3,7,649,1629,19,5,20,1797,0.5,149,0,0,1,1,1,1,1
1048,15,0.9,2,10,19,966,1975,5,1,28,1458,0.8,194,0,1,0,1,1,1,1
1887,16,3.0,8,6,7,1172,1798,18,16,17,3348,0.2,126,1,1,1,0,1,1,3
1772,20,0.5,8,3,15,270,545,5,2,64,1834,0.7,116,1,1,1,1,0,0,1
1421,14,2.8,1,0,2,781,1657,13,8,57,2775,0.4,165,0,0,0,1,1,1,3
1464,19,0.5,6,0,8,418,1341,13,6,17,1277,0.7,153,1,0,0,0,1,1,1
728,16,2.3,4,4,5,126,817,17,10,23,457,0.8,111,1,0,1,1,0,1,0
954,2,0.5,2,0,11,228,1058,17,0,50,438,0.3,134,0,1,0,0,0,1,0
685,2,0.5,7,8,15,1091,1203,15,7,13,3210,0.8,82,1,0,1,1,1,1,3
1472,7,2.8,6,1,10,1452,1744,12,11,36,985,0.5,130,1,0,1,0,0,1,1
853,8,2.0,2,10,16,674,740,15,8,3,3701,0.6,200,0,1,1,0,1,1,3
1469,3,2.1,7,0,0,398,1133,8,1,8,1052,0.7,123,0,0,1,0,0,0,0
1310,8,2.3,8,6,9,449,889,16,0,57,1175,0.9,135,1,1,0,0,0,0,0
1654,14,1.8,7,1,2,1184,1719,8,1,11,1070,0.3,146,0,0,1,1,0,1,1
902,15,0.7,7,3,9,675,1285,12,11,3,3411,0.3,134,0,1,0,1,0,0,3
1448,6,1.4,3,13,16,1792,1850,12,9,26,1175,1.0,156,1,0,1,0,0,0,1
1631,13,0.9,7,2,12,177,1905,13,5,3,301,0.1,198,1,0,0,0,1,1,0
1608,8,1.8,2,7,13,1013,1158,15,11,28,489,0.4,183,1,0,0,1,0,0,0
1991,8,2.7,2,5,13,1058,1325,5,3,64,1733,0.9,145,0,1,1,0,1,1,2
1349,4,2.0,5,15,16,592,772,11,3,62,2756,0.3,114,1,0,0,0,0,1,2
1589,16,2.5,1,5,18,810,1743,8,2,51,2612,0.8,195,0,0,0,0,1,1,2
1844,14,2.3,8,1,3,533,882,5,1,51,1724,0.7,158,1,1,1,1,0,0,1
712,4,0.5,2,3,10,558,1208,16,12,35,2190,0.2,84,1,1,1,1,1,1,1
972,19,1.7,3,0,4,681,1050,16,8,54,1900,0.7,107,0,1,0,1,1,1,1
1406,2,0.5,3,2,5,1017,1366,9,8,34,3915,0.8,98,1,0,0,1,1,1,3
1289,11,0.9,6,10,12,765,899,6,2,25,1043,1.0,178,0,0,1,0,1,1,0
932,9,1.3,7,1,2,1176,1224,8,7,64,3817,0.7,154,0,0,1,1,0,1,3
1747,19,0.9,3,6,19,947,1131,17,2,48,2362,0.7,94,0,1,1,0,1,1,2
1172,5,2.1,3,4,7,1314,1884,7,3,41,1107,0.1,95,1,1,0,0,0,0,1
1128,12,1.4,5,12,14,609,1370,14,9,53,2982,0.4,84,0,1,1,0,0,1,3
664,19,1.2,5,0,5,754,1497,17,15,28,2042,0.9,106,1,0,1,0,0,1,1
513,9,0.5,4,6,12,619,867,5,1,44,1343,0.1,186,0,1,1,0,1,1,0
1742,10,2.3,7,9,12,453,681,12,3,43,2610,0.4,170,1,0,0,1,1,1,2
1512,7,1.7,7,12,17,205,884,15,7,6,2335,0.7,162,0,1,1,1,0,1,2
1986,3,0.5,8,3,20,282,1358,17,12,51,1614,0.1,165,1,0,1,1,1,1,1
965,10,1.5,2,5,14,130,998,9,8,13,1138,1.0,109,1,1,1,0,0,0,0
1067,11,2.4,8,3,15,494,1989,16,14,40,604,0.6,122,1,1,0,0,1,1,0
1583,9,1.6,3,5,10,275,862,14,10,42,3652,0.8,118,0,1,0,0,1,1,3
1653,18,0.5,4,2,6,447,1785,19,4,37,3955,0.9,176,1,0,1,1,1,1,3
1433,4,1.6,8,7,11,281,799,11,9,4,258,0.7,133,0,0,1,1,0,1,0
765,16,2.9,7,0,0,6,793,11,1,18,1066,0.1,153,0,0,1,0,1,1,0
1845,6,0.5,1,10,12,292,695,9,5,61,1731,0.3,96,1,1,0,0,0,0,1
752,16,0.5,7,1,13,164,728,7,5,48,3860,0.7,87,1,0,0,0,0,0,3
1948,17,2.8,5,8,10,631,1940,9,7,16,3630,0.1,100,1,0,1,0,0,0,3
1077,6,2.5,3,0,4,897,1304,6,2,45,1965,1.0,174,1,0,1,0,1,1,1
932,19,0.5,4,1,2,268,1078,6,1,60,1459,0.7,104,0,1,1,0,1,1,0
1968,7,0.9,3,0,7,861,1259,9,8,22,2323,0.8,115,0,0,0,1,0,0,2
1122,13,1.2,4,9,14,331,790,11,2,2,3291,0.6,120,0,0,1,1,0,1,2
1588,17,0.5,1,0,13,1064,1594,18,0,61,3272,0.8,159,0,0,1,0,1,1,3
601,12,2.1,4,4,18,509,548,9,1,26,918,0.3,101,0,0,0,0,0,0,0
1615,3,0.5,4,14,16,622,1256,16,2,15,3488,0.1,132,0,0,0,1,0,0,3
1589,14,2.2,4,2,4,957,1911,16,14,58,3961,0.1,128,1,1,0,1,0,1,3
1417,6,2.7,6,2,4,494,1649,11,3,56,590,0.9,114,0,1,0,1,1,1,0
1697,8,0.7,1,1,3,236,1264,15,9,34,3701,0.1,95,0,1,1,0,1,1,3
1330,11,1.3,5,14,17,980,1262,14,6,3,463,0.3,83,1,1,0,1,0,0,0
1476,6,0.5,2,0,2,1789,1972,15,10,43,3644,0.7,148,0,0,0,1,1,1,3
1579,10,1.5,6,0,18,831,1484,16,4,27,1713,0.2,142,0,1,1,1,0,1,1
1277,14,3.0,4,0,3,902,1090,9,4,41,429,0.3,200,0,0,1,1,1,1,0
1089,10,0.9,5,12,15,636,1259,13,12,2,2765,0.7,145,1,1,0,1,1,1,2
1663,18,2.5,4,13,14,831,1439,7,1,27,2084,0.3,169,1,1,0,0,1,1,2
1949,9,1.8,5,0,4,518,592,17,10,20,1125,0.8,186,0,0,0,0,0,0,1
1138,18,1.1,3,5,14,233,1777,6,0,48,2048,0.6,109,0,0,1,1,1,1,2
685,18,2.7,6,7,20,725,870,8,0,17,1223,0.3,174,0,0,0,1,0,1,0
1889,3,2.8,1,5,10,170,1106,5,1,31,3672,1.0,132,0,0,1,1,1,1,3
857,13,2.0,7,3,9,157,948,17,5,17,3100,0.2,195,1,1,1,0,0,1,2
1902,18,2.8,8,6,9,1142,1393,11,8,50,343,0.8,124,1,0,1,0,0,0,0
1225,15,2.4,5,0,0,840,982,16,8,15,1970,0.1,155,0,1,1,0,0,1,1
1066,17,1.6,5,5,17,401,1586,6,0,39,2728,0.6,131,0,0,1,1,0,1,2
1554,18,0.5,3,11,12,395,1579,7,4,5,3635,1.0,124,1,1,0,0,0,0,3
1337,16,0.5,2,13,20,48,644,7,4,31,2180,0.8,186,0,0,0,1,0,1,1
1926,14,1.7,3,1,2,982,1157,6,1,33,2488,0.4,172,1,1,0,0,1,1,2
869,11,1.3,2,3,4,478,539,13,3,34,3864,0.1,104,1,0,0,0,0,1,3
1278,20,0.5,8,1,16,581,750,7,1,54,1155,0.1,104,1,1,0,1,0,0,0
1773,13,2.5,6,16,18,1215,1472,17,6,32,3566,0.6,170,0,1,0,1,1,1,3
1661,2,0.8,7,1,2,594,1337,9,8,6,864,1.0,109,1,1,0,1,1,1,1
1438,9,2.2,7,0,6,683,1663,19,13,32,869,0.6,176,0,0,1,1,1,1,0
1661,9,1.4,2,0,0,536,861,9,2,29,591,0.3,119,0,1,1,1,0,1,0
1846,11,0.6,1,1,2,83,773,15,6,19,1333,0.7,159,0,1,1,1,0,0,1
1260,10,2.0,7,2,10,905,1313,12,11,23,2208,0.2,123,1,1,0,1,1,1,2
512,15,0.5,3,7,15,249,1849,18,14,15,2610,0.9,83,1,1,1,1,0,0,2
581,9,2.2,5,0,6,803,1613,19,17,59,2819,0.7,185,0,0,0,1,0,0,2
1872,15,2.3,3,6,15,459,1259,9,4,44,1955,0.7,134,0,1,0,1,0,1,2
687,8,1.3,4,9,20,584,1151,14,6,50,3416,0.6,151,0,1,1,0,1,1,3
1062,16,2.5,1,6,13,1596,1807,7,3,10,3803,0.9,160,1,1,0,1,0,0,3
1678,19,2.3,1,11,14,418,1763,5,3,7,574,0.5,192,1,1,0,0,0,1,0
1417,12,0.5,4,10,19,364,1029,13,9,45,2129,0.9,166,0,1,0,1,1,1,1
1074,18,2.4,6,2,14,946,952,13,1,9,1948,0.9,103,1,0,1,1,1,1,1
1832,18,0.7,7,2,6,186,654,18,7,2,2978,0.6,90,0,0,0,0,0,0,2
1039,10,1.3,8,0,0,1428,1827,7,1,12,1619,0.8,200,0,0,1,1,1,1,1
1059,11,2.4,3,8,18,1613,1916,15,13,61,3716,0.1,134,0,0,1,0,0,1,3
1606,20,1.4,4,3,4,1127,1924,13,8,57,3454,0.1,154,0,0,0,1,0,0,3
1928,13,1.8,3,9,20,691,1580,7,2,19,3777,1.0,187,0,1,1,1,1,1,3
1875,6,0.5,1,11,17,1802,1942,7,2,55,2712,0.7,91,1,1,0,1,1,1,3
1128,11,1.1,8,9,10,751,1582,5,0,46,1434,0.9,135,0,1,0,0,1,1,1
1748,3,1.7,3,6,7,859,1234,16,12,14,3968,0.5,146,1,0,0,1,1,1,3
1413,2,0.5,5,5,11,187,517,16,5,51,3383,0.3,117,1,0,0,0,0,0,3
825,2,0.5,2,0,0,206,1917,8,6,23,3278,0.1,86,1,0,0,1,1,1,3
1589,18,1.4,8,3,16,1673,1759,16,8,26,3970,0.1,100,0,1,0,1,1,1,3
535,10,0.5,8,8,15,710,939,14,8,54,2674,0.5,145,1,1,0,0,1,1,2
1780,14,0.5,4,6,11,1331,1463,19,17,27,2776,0.1,190,0,1,1,1,0,1,3
1671,7,0.6,2,7,11,263,848,10,4,61,2336,0.1,129,1,0,0,0,1,1,2
1821,6,0.9,1,9,18,97,1803,7,4,12,2430,0.3,114,0,0,1,1,1,1,2
1076,9,2.6,6,3,8,129,915,18,3,38,891,0.7,119,0,1,1,0,1,1,0
532,8,0.8,5,3,10,1213,1354,13,5,8,728,0.1,193,1,1,1,0,0,1,0
777,7,2.6,5,3,17,189,1143,14,10,30,3886,0.9,148,0,1,0,0,0,1,3
1217,9,0.5,4,3,13,628,632,7,3,17,1711,0.5,182,0,1,0,1,0,1,1
1656,20,1.6,7,0,2,320,899,14,3,16,2856,1.0,117,1,1,1,1,0,1,2
1185,3,1.9,8,0,7,837,1642,16,2,31,2447,0.4,152,0,0,1,1,0,1,2
577,19,2.4,6,8,20,1087,1450,11,7,37,814,0.9,161,0,0,1,1,1,1,0
737,10,2.4,4,7,16,781,1463,7,0,49,2951,0.6,193,1,1,1,0,0,0,2
704,15,2.2,6,4,6,251,1013,7,1,53,3653,0.2,186,1,0,1,1,0,1,2
525,12,0.5,8,5,11,262,1587,18,3,51,1891,0.5,137,1,1,1,0,0,0,1
504,15,0.5,1,5,9,767,1665,17,15,16,701,0.1,166,1,1,0,1,0,1,0
793,12,1.2,4,1,7,1226,1815,6,1,38,3139,0.6,176,1,0,1,1,1,1,3
569,7,0.6,8,2,9,389,739,7,6,39,2811,0.1,184,1,0,0,1,0,1,1
1590,4,1.9,5,3,18,920,963,11,4,21,1701,1.0,160,1,0,0,1,1,1,1
707,12,0.5,2,0,0,1027,1508,17,14,16,1853,0.1,194,0,0,1,1,1,1,1
767,6,1.9,6,16,17,271,1000,6,1,19,2445,0.2,185,0,0,1,1,1,1,1
1350,8,0.5,8,0,4,369,544,15,1,50,2287,0.8,181,1,1,1,0,1,1,1
1117,14,0.6,2,0,7,1258,1627,8,7,31,2003,0.2,146,1,1,1,1,0,0,2
641,19,1.1,1,0,3,417,759,7,5,7,3595,0.9,192,0,1,1,1,1,1,2
1002,19,0.8,2,0,4,1345,1416,16,5,35,1726,0.5,83,1,0,0,1,1,1,1
1408,3,2.1,5,10,14,613,1088,8,6,45,3952,0.9,89,1,1,0,1,0,0,3
1900,4,2.0,8,1,6,912,1596,5,1,41,850,0.5,190,1,1,1,1,0,1,1
726,8,2.9,8,0,0,666,760,17,2,43,1446,0.1,101,0,0,1,0,0,1,0
1544,18,2.3,8,12,20,236,857,8,7,45,1300,0.1,113,0,0,1,0,1,1,1
1454,10,1.6,4,6,10,186,1100,14,10,21,719,0.2,160,0,1,1,1,1,1,0
1230,9,2.2,5,6,7,416,676,11,5,26,988,0.8,123,1,1,1,1,0,0,0
1552,12,1.2,8,10,18,430,658,13,6,53,2606,0.3,180,0,0,0,0,1,1,2
1519,15,2.1,1,0,10,168,1239,11,10,32,2912,0.7,200,0,0,1,0,0,1,2
723,17,1.9,1,4,7,1467,1901,19,9,30,2339,0.3,102,0,1,1,1,0,0,2
1191,8,2.4,1,2,7,179,1813,14,6,13,1028,0.9,169,1,0,1,1,0,1,0
1168,17,1.3,8,9,10,159,1578,9,4,61,3173,0.1,90,0,0,0,1,0,0,3
1229,17,0.5,2,15,16,120,1878,17,6,14,1667,0.8,191,1,0,0,1,0,0,1
1758,15,0.5,8,11,14,762,1864,6,2,13,1897,0.6,190,0,1,0,0,1,1,2
1290,15,0.5,6,0,4,600,1109,9,8,3,1214,0.1,143,0,0,1,1,0,0,1
574,10,2.8,6,16,17,286,1171,8,7,38,3269,0.1,90,1,0,1,0,0,0,2
1271,14,0.5,7,12,15,1350,1949,15,14,32,445,0.1,113,0,1,0,1,0,0,0
1170,8,1.2,8,4,15,27,1722,6,4,30,1073,0.4,83,0,1,1,0,0,1,0
1269,5,1.3,2,14,15,1597,1920,18,5,52,665,0.8,118,0,1,0,0,0,0,1
1288,2,2.8,2,15,20,1177,1809,17,6,50,3129,0.1,121,1,0,0,0,0,0,3
1366,3,0.7,2,0,9,402,964,13,11,34,3501,0.1,150,1,1,0,0,1,1,3
1572,10,0.8,5,7,8,577,1237,6,3,8,3461,0.8,169,1,1,1,1,1,1,3
1627,16,0.9,6,9,16,52,1082,12,6,32,3206,0.1,180,1,0,1,0,1,1,3
